# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
  2  1.60000000E+01     0.00000000    -1.00000000
 39  2.19902326E+12     0.05000000    -1.00064567
 45  1.40737488E+14     0.10000000    -1.00258811
 47  5.62949953E+14     0.15000000    -1.00583738
 44  7.03687442E+13     0.20000000    -1.01040628
 47  5.62949953E+14     0.25000000    -1.01631054
 45  1.40737488E+14     0.30000000    -1.02356889
 45  1.40737488E+14     0.35000000    -1.03220296
 44  7.03687442E+13     0.40000000    -1.04223699
 46  2.81474977E+14     0.45000000    -1.05369769
 45  1.40737488E+14     0.50000000    -1.06661479
 47  5.62949953E+14     0.55000000    -1.08102224
 46  2.81474977E+14     0.60000000    -1.09695871
 48  1.12589991E+15     0.65000000    -1.11446663
 52  1.80143985E+16     0.70000000    -1.13359047
 49  2.25179981E+15     0.75000000    -1.15437520
 47  5.62949953E+14     0.80000000    -1.17686461
 50  4.50359963E+15     0.85000000    -1.20109773
 48  1.12589991E+15     0.90000000    -1.22710242
 48  1.12589991E+15     0.95000000    -1.25488402
 48  1.12589991E+15     1.00000000    -1.28442318
 49  2.25179981E+15     1.05000000    -1.31567962
 49  2.25179981E+15     1.10000000    -1.34859750
 47  5.62949953E+14     1.15000000    -1.38310685
 47  5.62949953E+14     1.20000000    -1.41981515
 48  1.12589991E+15     1.25000000    -1.45731306
 64  7.37869763E+19     1.30000000    -1.49855163
 47  5.62949953E+14     1.35000000    -1.53877118
 47  5.62949953E+14     1.40000000    -1.57996570
 51  9.00719925E+15     1.45000000    -1.62203181
 49  2.25179981E+15     1.50000000    -1.66498459
 48  1.12589991E+15     1.55000000    -1.70857459
 48  1.12589991E+15     1.60000000    -1.75276710
 49  2.25179981E+15     1.65000000    -1.79758251
 50  4.50359963E+15     1.70000000    -1.84268668
 66  2.95147905E+20     1.75000000    -1.88935119
 49  2.25179981E+15     1.80000000    -1.93506265
 55  1.44115188E+17     1.85000000    -1.98104341
 55  1.44115188E+17     1.90000000    -2.02726713
 50  4.50359963E+15     1.95000000    -2.07377464
 48  1.12589991E+15     2.00000000    -2.12041884
 50  4.50359963E+15     2.05000000    -2.16724627
 50  4.50359963E+15     2.10000000    -2.21424172
 57  5.76460752E+17     2.15000000    -2.26139170
 74  7.55578637E+22     2.20000000    -2.30868419
 49  2.25179981E+15     2.25000000    -2.35610844
 47  5.62949953E+14     2.30000000    -2.40365479
 48  1.12589991E+15     2.35000000    -2.45131454
 54  7.20575940E+16     2.40000000    -2.49907980
 49  2.25179981E+15     2.45000000    -2.54745362
 49  2.25179981E+15     2.50000000    -2.59540220
 57  5.76460752E+17     2.55000000    -2.64343692
 48  1.12589991E+15     2.60000000    -2.69155236
 51  9.00719925E+15     2.65000000    -2.73974356
 48  1.12589991E+15     2.70000000    -2.78800596
 48  1.12589991E+15     2.75000000    -2.83633536
 62  1.84467441E+19     2.80000000    -2.88472791
 48  1.12589991E+15     2.85000000    -2.93318004
 51  9.00719925E+15     2.90000000    -2.98168844
 47  5.62949953E+14     2.95000000    -3.03025007
 49  2.25179981E+15     3.00000000    -3.07886208
