# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
  2  3.20000000E+01     0.00000000    -1.00000000
 39  4.39804651E+12     0.05000000    -1.00058775
 42  3.51843721E+13     0.10000000    -1.00235199
 44  1.40737488E+14     0.15000000    -1.00529353
 41  1.75921860E+13     0.20000000    -1.00941332
 42  3.51843721E+13     0.25000000    -1.01471425
 44  1.40737488E+14     0.30000000    -1.02120352
 43  7.03687442E+13     0.35000000    -1.02889558
 48  2.25179981E+15     0.40000000    -1.03781545
 46  5.62949953E+14     0.45000000    -1.04800185
 46  5.62949953E+14     0.50000000    -1.05950929
 45  2.81474977E+14     0.55000000    -1.07240816
 46  5.62949953E+14     0.60000000    -1.08678217
 48  2.25179981E+15     0.65000000    -1.10272361
 48  2.25179981E+15     0.70000000    -1.12032775
 46  5.62949953E+14     0.75000000    -1.13968752
 49  4.50359963E+15     0.80000000    -1.16088895
 47  1.12589991E+15     0.85000000    -1.18400494
 47  1.12589991E+15     0.90000000    -1.20909203
 47  1.12589991E+15     0.95000000    -1.23618965
 47  1.12589991E+15     1.00000000    -1.26531513
 47  1.12589991E+15     1.05000000    -1.29645979
 47  1.12589991E+15     1.10000000    -1.32959058
 47  1.12589991E+15     1.15000000    -1.36537279
 47  1.12589991E+15     1.20000000    -1.40255628
 47  1.12589991E+15     1.25000000    -1.44808080
 50  9.00719925E+15     1.30000000    -1.48779740
 47  1.12589991E+15     1.35000000    -1.52868418
 47  1.12589991E+15     1.40000000    -1.57066520
 47  1.12589991E+15     1.45000000    -1.61356222
 48  2.25179981E+15     1.50000000    -1.65720315
 47  1.12589991E+15     1.55000000    -1.70140730
 49  4.50359963E+15     1.60000000    -1.74607551
 48  2.25179981E+15     1.65000000    -1.79114262
 48  2.25179981E+15     1.70000000    -1.83655865
 48  2.25179981E+15     1.75000000    -1.88228342
 49  4.50359963E+15     1.80000000    -1.92828368
 49  4.50359963E+15     1.85000000    -1.97453143
 49  4.50359963E+15     1.90000000    -2.02100276
 48  2.25179981E+15     1.95000000    -2.06767703
 49  4.50359963E+15     2.00000000    -2.11453626
 48  2.25179981E+15     2.05000000    -2.16156468
 50  9.00719925E+15     2.10000000    -2.20874838
 47  1.12589991E+15     2.15000000    -2.25607503
 47  1.12589991E+15     2.20000000    -2.30353360
 47  1.12589991E+15     2.25000000    -2.35111425
 48  2.25179981E+15     2.30000000    -2.39880811
 47  1.12589991E+15     2.35000000    -2.44660721
 48  2.25179981E+15     2.40000000    -2.49450429
 49  4.50359963E+15     2.45000000    -2.54249281
 47  1.12589991E+15     2.50000000    -2.59056679
 49  4.50359963E+15     2.55000000    -2.63872078
 50  9.00719925E+15     2.60000000    -2.68694979
 49  4.50359963E+15     2.65000000    -2.73524926
 49  4.50359963E+15     2.70000000    -2.78361498
 47  1.12589991E+15     2.75000000    -2.83204310
 50  9.00719925E+15     2.80000000    -2.88053005
 49  4.50359963E+15     2.85000000    -2.92907253
 48  2.25179981E+15     2.90000000    -2.97766751
 51  1.80143985E+16     2.95000000    -3.02631214
 49  4.50359963E+15     3.00000000    -3.07500382
