# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
  4  9.60000000E+01     0.00000000    -1.00000000
 42  2.63882791E+13     0.05000000    -1.00060915
 40  6.59706977E+12     0.10000000    -1.00244245
 42  2.63882791E+13     0.15000000    -1.00550839
 45  2.11106233E+14     0.20000000    -1.00981564
 46  4.22212465E+14     0.25000000    -1.01537414
 44  1.05553116E+14     0.30000000    -1.02219670
 45  2.11106233E+14     0.35000000    -1.03030163
 46  4.22212465E+14     0.40000000    -1.03971722
 46  4.22212465E+14     0.45000000    -1.05048962
 46  4.22212465E+14     0.50000000    -1.06269462
 46  4.22212465E+14     0.55000000    -1.07644451
 46  4.22212465E+14     0.60000000    -1.09186163
 47  8.44424930E+14     0.65000000    -1.10901719
 46  4.22212465E+14     0.70000000    -1.12791932
 45  2.11106233E+14     0.75000000    -1.14856667
 47  8.44424930E+14     0.80000000    -1.17097671
 46  4.22212465E+14     0.85000000    -1.19517638
 50  6.75539944E+15     0.90000000    -1.22118806
 47  8.44424930E+14     0.95000000    -1.24902102
 47  8.44424930E+14     1.00000000    -1.27866668
 46  4.22212465E+14     1.05000000    -1.31167660
 48  1.68884986E+15     1.10000000    -1.34494334
 49  3.37769972E+15     1.15000000    -1.37982031
 47  8.44424930E+14     1.20000000    -1.41696068
 47  8.44424930E+14     1.25000000    -1.45499401
 58  1.72938226E+18     1.30000000    -1.49432212
 47  8.44424930E+14     1.35000000    -1.53517444
 53  5.40431955E+16     1.40000000    -1.57674005
 48  1.68884986E+15     1.45000000    -1.61935014
 66  4.42721858E+20     1.50000000    -1.66258806
 47  8.44424930E+14     1.55000000    -1.70649370
 56  4.32345564E+17     1.60000000    -1.75090130
 47  8.44424930E+14     1.65000000    -1.79608774
 47  8.44424930E+14     1.70000000    -1.84154232
 47  8.44424930E+14     1.75000000    -1.88705336
 48  1.68884986E+15     1.80000000    -1.93465877
 47  8.44424930E+14     1.85000000    -1.98072152
 47  8.44424930E+14     1.90000000    -2.02701831
 48  1.68884986E+15     1.95000000    -2.07352763
 47  8.44424930E+14     2.00000000    -2.12023075
 59  3.45876451E+18     2.05000000    -2.16711122
 67  8.85443716E+20     2.10000000    -2.21415450
 48  1.68884986E+15     2.15000000    -2.26165985
 46  4.22212465E+14     2.20000000    -2.30898587
 46  4.22212465E+14     2.25000000    -2.35644004
 52  2.70215978E+16     2.30000000    -2.40401312
 57  8.64691128E+17     2.35000000    -2.45169675
 60  6.91752903E+18     2.40000000    -2.49948335
 60  6.91752903E+18     2.45000000    -2.54736606
 67  8.85443716E+20     2.50000000    -2.59533861
 47  8.44424930E+14     2.55000000    -2.64339529
 48  1.68884986E+15     2.60000000    -2.69153087
 67  8.85443716E+20     2.65000000    -2.73974056
 52  2.70215978E+16     2.70000000    -2.78801994
 47  8.44424930E+14     2.75000000    -2.83636497
 49  3.37769972E+15     2.80000000    -2.88477190
 46  4.22212465E+14     2.85000000    -2.93323727
 51  1.35107989E+16     2.90000000    -2.98175788
 51  1.35107989E+16     2.95000000    -3.03033076
 60  6.91752903E+18     3.00000000    -3.07895315
