# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
  4  1.28000000E+02     0.00000000    -1.00000000
 37  1.09951163E+12     0.05000000    -1.00060187
 41  1.75921860E+13     0.10000000    -1.00241367
 42  3.51843721E+13     0.15000000    -1.00544711
 41  1.75921860E+13     0.20000000    -1.00971693
 43  7.03687442E+13     0.25000000    -1.01524075
 44  1.40737488E+14     0.30000000    -1.02203889
 44  1.40737488E+14     0.35000000    -1.03013442
 46  5.62949953E+14     0.40000000    -1.03955350
 44  1.40737488E+14     0.45000000    -1.05032607
 44  1.40737488E+14     0.50000000    -1.06248696
 49  4.50359963E+15     0.55000000    -1.07607785
 46  5.62949953E+14     0.60000000    -1.09114998
 48  2.25179981E+15     0.65000000    -1.10776766
 47  1.12589991E+15     0.70000000    -1.12601166
 46  5.62949953E+14     0.75000000    -1.14598098
 49  4.50359963E+15     0.80000000    -1.16778972
 48  2.25179981E+15     0.85000000    -1.19154981
 46  5.62949953E+14     0.90000000    -1.21733724
 48  2.25179981E+15     0.95000000    -1.24518063
 47  1.12589991E+15     1.00000000    -1.27508956
 47  1.12589991E+15     1.05000000    -1.30699279
 47  1.12589991E+15     1.10000000    -1.34048638
 46  5.62949953E+14     1.15000000    -1.37640393
 49  4.50359963E+15     1.20000000    -1.41329358
 48  2.25179981E+15     1.25000000    -1.45367452
 47  1.12589991E+15     1.30000000    -1.49348562
 47  1.12589991E+15     1.35000000    -1.53446708
 47  1.12589991E+15     1.40000000    -1.57633691
 55  2.88230376E+17     1.45000000    -1.61906118
 48  2.25179981E+15     1.50000000    -1.66254953
 47  1.12589991E+15     1.55000000    -1.70671190
 61  1.84467441E+19     1.60000000    -1.75121250
 47  1.12589991E+15     1.65000000    -1.79611747
 47  1.12589991E+15     1.70000000    -1.84137748
 46  5.62949953E+14     1.75000000    -1.88695274
 64  1.47573953E+20     1.80000000    -1.93281014
 49  4.50359963E+15     1.85000000    -1.98008162
 47  1.12589991E+15     1.90000000    -2.02640541
 47  1.12589991E+15     1.95000000    -2.07293776
 48  2.25179981E+15     2.00000000    -2.11966070
 48  2.25179981E+15     2.05000000    -2.16655836
 48  2.25179981E+15     2.10000000    -2.21361668
 64  1.47573953E+20     2.15000000    -2.26082312
 47  1.12589991E+15     2.20000000    -2.30816647
 48  2.25179981E+15     2.25000000    -2.35563666
 48  2.25179981E+15     2.30000000    -2.40322461
 48  2.25179981E+15     2.35000000    -2.45092211
 54  1.44115188E+17     2.40000000    -2.49872172
 47  1.12589991E+15     2.45000000    -2.54759397
 59  4.61168602E+18     2.50000000    -2.59556626
 46  5.62949953E+14     2.55000000    -2.64362228
 57  1.15292150E+18     2.60000000    -2.69175688
 51  1.80143985E+16     2.65000000    -2.73996532
 48  2.25179981E+15     2.70000000    -2.78824324
 51  1.80143985E+16     2.75000000    -2.83658661
 45  2.81474977E+14     2.80000000    -2.88499172
 49  4.50359963E+15     2.85000000    -2.93345516
 48  2.25179981E+15     2.90000000    -2.98197373
 47  1.12589991E+15     2.95000000    -3.03054449
 48  2.25179981E+15     3.00000000    -3.07916470
