# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
 20  8.38860800E+06     0.00000000    -1.00000000
 43  7.03687442E+13     0.05000000    -1.00063035
 40  8.79609302E+12     0.10000000    -1.00252393
 39  4.39804651E+12     0.15000000    -1.00568607
 42  3.51843721E+13     0.20000000    -1.01012408
 42  3.51843721E+13     0.25000000    -1.01584737
 51  1.80143985E+16     0.30000000    -1.02286751
 44  1.40737488E+14     0.35000000    -1.03119859
 44  1.40737488E+14     0.40000000    -1.04085804
 50  9.00719925E+15     0.45000000    -1.05214646
 56  5.76460752E+17     0.50000000    -1.06468170
 45  2.81474977E+14     0.55000000    -1.07867948
 53  7.20575940E+16     0.60000000    -1.09442144
 46  5.62949953E+14     0.65000000    -1.11133882
 47  1.12589991E+15     0.70000000    -1.13012212
100  1.01412048E+31     0.75000000    -1.15055833
100  1.01412048E+31     0.80000000    -1.17275406
 51  1.80143985E+16     0.85000000    -1.19705280
 55  2.88230376E+17     0.90000000    -1.22266556
 46  5.62949953E+14     0.95000000    -1.25033441
 56  5.76460752E+17     1.00000000    -1.28009149
 46  5.62949953E+14     1.05000000    -1.31181075
 47  1.12589991E+15     1.10000000    -1.34541032
 90  9.90352031E+27     1.15000000    -1.38204493
 46  5.62949953E+14     1.20000000    -1.41916929
 77  1.20892582E+24     1.25000000    -1.45769036
 62  3.68934881E+19     1.30000000    -1.49786091
 47  1.12589991E+15     1.35000000    -1.53947081
 49  4.50359963E+15     1.40000000    -1.58135956
 47  1.12589991E+15     1.45000000    -1.62410652
 47  1.12589991E+15     1.50000000    -1.66753325
 46  5.62949953E+14     1.55000000    -1.71144699
 54  1.44115188E+17     1.60000000    -1.75591756
 47  1.12589991E+15     1.65000000    -1.80134048
 47  1.12589991E+15     1.70000000    -1.84650581
 46  5.62949953E+14     1.75000000    -1.89200015
 86  6.18970020E+26     1.80000000    -1.93772589
 98  2.53530120E+30     1.85000000    -1.98384955
 47  1.12589991E+15     1.90000000    -2.03007395
 83  7.73712525E+25     1.95000000    -2.07656321
 50  9.00719925E+15     2.00000000    -2.12319756
 46  5.62949953E+14     2.05000000    -2.17004055
 46  5.62949953E+14     2.10000000    -2.21701944
 46  5.62949953E+14     2.15000000    -2.26434933
 47  1.12589991E+15     2.20000000    -2.31169342
 51  1.80143985E+16     2.25000000    -2.35908980
 46  5.62949953E+14     2.30000000    -2.40660741
 59  4.61168602E+18     2.35000000    -2.45456313
 52  3.60287970E+16     2.40000000    -2.50229569
100  1.01412048E+31     2.45000000    -2.55012624
100  1.01412048E+31     2.50000000    -2.59817407
 49  4.50359963E+15     2.55000000    -2.64618079
 47  1.12589991E+15     2.60000000    -2.69426807
 46  5.62949953E+14     2.65000000    -2.74246369
 50  9.00719925E+15     2.70000000    -2.79069735
 56  5.76460752E+17     2.75000000    -2.83899811
 47  1.12589991E+15     2.80000000    -2.88736217
100  1.01412048E+31     2.85000000    -2.93578600
 75  3.02231455E+23     2.90000000    -2.98426634
100  1.01412048E+31     2.95000000    -3.03284591
 94  1.58456325E+29     3.00000000    -3.08142992
