# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
  2  2.40000000E+01     0.00000000    -1.00000000
 39  3.29853488E+12     0.05000000    -1.00057858
 42  2.63882791E+13     0.10000000    -1.00231964
 43  5.27765581E+13     0.15000000    -1.00523222
 44  1.05553116E+14     0.20000000    -1.00932874
 44  1.05553116E+14     0.25000000    -1.01462758
 45  2.11106233E+14     0.30000000    -1.02115554
 47  8.44424930E+14     0.35000000    -1.02894948
 49  3.37769972E+15     0.40000000    -1.03805667
 51  1.35107989E+16     0.45000000    -1.04853338
 46  4.22212465E+14     0.50000000    -1.06044211
 46  4.22212465E+14     0.55000000    -1.07384814
 46  4.22212465E+14     0.60000000    -1.08881630
 49  3.37769972E+15     0.65000000    -1.10540859
 48  1.68884986E+15     0.70000000    -1.12368312
 51  1.35107989E+16     0.75000000    -1.14368706
 47  8.44424930E+14     0.80000000    -1.16546646
 48  1.68884986E+15     0.85000000    -1.18904824
 49  3.37769972E+15     0.90000000    -1.21445055
 47  8.44424930E+14     0.95000000    -1.24168036
 47  8.44424930E+14     1.00000000    -1.27073052
 47  8.44424930E+14     1.05000000    -1.30157854
 48  1.68884986E+15     1.10000000    -1.33418869
 47  8.44424930E+14     1.15000000    -1.36851471
 48  1.68884986E+15     1.20000000    -1.40553718
 48  1.68884986E+15     1.25000000    -1.44908761
 47  8.44424930E+14     1.30000000    -1.48827796
 49  3.37769972E+15     1.35000000    -1.52861645
 47  8.44424930E+14     1.40000000    -1.57007290
 49  3.37769972E+15     1.45000000    -1.61251562
 49  3.37769972E+15     1.50000000    -1.65580570
 47  8.44424930E+14     1.55000000    -1.69980559
 56  4.32345564E+17     1.60000000    -1.74434832
 49  3.37769972E+15     1.65000000    -1.78932843
 51  1.35107989E+16     1.70000000    -1.83468276
 48  1.68884986E+15     1.75000000    -1.88036384
 48  1.68884986E+15     1.80000000    -1.92633376
 47  8.44424930E+14     1.85000000    -1.97256136
 48  1.68884986E+15     1.90000000    -2.01902042
 49  3.37769972E+15     1.95000000    -2.06568861
 48  1.68884986E+15     2.00000000    -2.11254669
 48  1.68884986E+15     2.05000000    -2.15957788
 47  8.44424930E+14     2.10000000    -2.20676752
 49  3.37769972E+15     2.15000000    -2.25410263
 48  1.68884986E+15     2.20000000    -2.30157172
 48  1.68884986E+15     2.25000000    -2.34916453
 47  8.44424930E+14     2.30000000    -2.39687188
 51  1.35107989E+16     2.35000000    -2.44468552
 48  1.68884986E+15     2.40000000    -2.49259800
 49  3.37769972E+15     2.45000000    -2.54060257
 49  3.37769972E+15     2.50000000    -2.58869312
 48  1.68884986E+15     2.55000000    -2.63686406
 51  1.35107989E+16     2.60000000    -2.68511031
 54  1.08086391E+17     2.65000000    -2.73342721
 48  1.68884986E+15     2.70000000    -2.78181049
 49  3.37769972E+15     2.75000000    -2.83025622
 51  1.35107989E+16     2.80000000    -2.87876079
 49  3.37769972E+15     2.85000000    -2.92732087
 49  3.37769972E+15     2.90000000    -2.97593336
 48  1.68884986E+15     2.95000000    -3.02459542
 53  5.40431955E+16     3.00000000    -3.07330440
