# last itr    DescrSz     Lambda      eigenvalues/(# particles - 1) ->
 26  4.02653184E+08     0.00000000    -1.00000000
 39  3.29853488E+12     0.05000000    -1.00065335
 40  6.59706977E+12     0.10000000    -1.00262003
 46  4.22212465E+14     0.15000000    -1.00591153
 43  5.27765581E+13     0.20000000    -1.01054145
 51  1.35107989E+16     0.25000000    -1.01652549
 43  5.27765581E+13     0.30000000    -1.02388150
 44  1.05553116E+14     0.35000000    -1.03262937
 43  5.27765581E+13     0.40000000    -1.04279094
 46  4.22212465E+14     0.45000000    -1.05438966
 65  2.21360929E+20     0.50000000    -1.06744994
 89  3.71382012E+27     0.55000000    -1.08199262
 59  3.45876451E+18     0.60000000    -1.09808394
 48  1.68884986E+15     0.65000000    -1.11570069
 57  8.64691128E+17     0.70000000    -1.13487832
 45  2.11106233E+14     0.75000000    -1.15561570
 48  1.68884986E+15     0.80000000    -1.17788905
 65  2.21360929E+20     0.85000000    -1.20183797
 69  3.54177486E+21     0.90000000    -1.22766456
 45  2.11106233E+14     0.95000000    -1.25539517
 77  9.06694365E+23     1.00000000    -1.28502248
 46  4.22212465E+14     1.05000000    -1.31634577
 47  8.44424930E+14     1.10000000    -1.35062217
 47  8.44424930E+14     1.15000000    -1.38561817
 47  8.44424930E+14     1.20000000    -1.42210936
 65  2.21360929E+20     1.25000000    -1.46008894
 70  7.08354972E+21     1.30000000    -1.49934149
 47  8.44424930E+14     1.35000000    -1.54013172
 66  4.42721858E+20     1.40000000    -1.58201082
 47  8.44424930E+14     1.45000000    -1.62532800
 49  3.37769972E+15     1.50000000    -1.66844517
 60  6.91752903E+18     1.55000000    -1.71217241
 47  8.44424930E+14     1.60000000    -1.75647573
 46  4.22212465E+14     1.65000000    -1.80115967
 49  3.37769972E+15     1.70000000    -1.84650878
 47  8.44424930E+14     1.75000000    -1.89189846
 47  8.44424930E+14     1.80000000    -1.93771174
 83  5.80284393E+25     1.85000000    -1.98365964
 49  3.37769972E+15     1.90000000    -2.03021834
100  7.60590360E+30     1.95000000    -2.07662398
 74  1.13336796E+23     2.00000000    -2.12355582
100  7.60590360E+30     2.05000000    -2.17033663
 52  2.70215978E+16     2.10000000    -2.21728584
 47  8.44424930E+14     2.15000000    -2.26439017
 47  8.44424930E+14     2.20000000    -2.31210170
 47  8.44424930E+14     2.25000000    -2.35947140
 91  1.48552805E+28     2.30000000    -2.40696457
 70  7.08354972E+21     2.35000000    -2.45462249
 93  5.94211219E+28     2.40000000    -2.50233654
 48  1.68884986E+15     2.45000000    -2.55091767
 81  1.45071098E+25     2.50000000    -2.59882013
 55  2.16172782E+17     2.55000000    -2.64680951
 48  1.68884986E+15     2.60000000    -2.69493052
 47  8.44424930E+14     2.65000000    -2.74307723
 46  4.22212465E+14     2.70000000    -2.79129600
 46  4.22212465E+14     2.75000000    -2.83958264
 47  8.44424930E+14     2.80000000    -2.88793329
 83  5.80284393E+25     2.85000000    -2.93634438
100  7.60590360E+30     2.90000000    -2.98481259
 80  7.25355492E+24     2.95000000    -3.03333486
100  7.60590360E+30     3.00000000    -3.08190835
